model,package,run_a,run_b,jaccard
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,3,5,0.9365671641791045
qwen_qwen-2.5-coder-32b-instruct,countries-and-timezones,4,5,0.915129151291513
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,2,0.9301075268817204
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,3,0.8743455497382199
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,4,0.9095744680851063
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,1,5,0.9139784946236559
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,2,3,0.9297297297297298
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,2,4,0.9144385026737968
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,2,5,0.9086021505376344
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,3,4,0.8888888888888888
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,3,5,0.8829787234042553
qwen_qwen-2.5-coder-32b-instruct,node-jsonfile,4,5,0.8783068783068783
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,2,0.9135514018691588
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,3,0.8839080459770114
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,4,0.9161816065192084
qwen_qwen-2.5-coder-32b-instruct,pull-stream,1,5,0.9083526682134571
qwen_qwen-2.5-coder-32b-instruct,pull-stream,2,3,0.8837744533947065
qwen_qwen-2.5-coder-32b-instruct,pull-stream,2,4,0.8940092165898618
qwen_qwen-2.5-coder-32b-instruct,pull-stream,2,5,0.9104651162790698
qwen_qwen-2.5-coder-32b-instruct,pull-stream,3,4,0.8929804372842347
qwen_qwen-2.5-coder-32b-instruct,pull-stream,3,5,0.9116279069767442
qwen_qwen-2.5-coder-32b-instruct,pull-stream,4,5,0.9130938586326767
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,2,0.9182156133828996
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,3,0.8937728937728938
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,4,0.9003690036900369
qwen_qwen-2.5-coder-32b-instruct,spacl-core,1,5,0.9067164179104478
qwen_qwen-2.5-coder-32b-instruct,spacl-core,2,3,0.929368029739777
qwen_qwen-2.5-coder-32b-instruct,spacl-core,2,4,0.88
qwen_qwen-2.5-coder-32b-instruct,spacl-core,2,5,0.914179104477612
qwen_qwen-2.5-coder-32b-instruct,spacl-core,3,4,0.8836363636363637
qwen_qwen-2.5-coder-32b-instruct,spacl-core,3,5,0.8827838827838828
qwen_qwen-2.5-coder-32b-instruct,spacl-core,4,5,0.8892988929889298
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,2,0.905982905982906
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,3,0.8898305084745762
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,4,0.8888888888888888
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,1,5,0.956140350877193
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,2,3,0.8512396694214877
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,2,4,0.9137931034482759
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,2,5,0.8983050847457628
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,3,4,0.865546218487395
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,3,5,0.8666666666666667
qwen_qwen-2.5-coder-32b-instruct,zip-a-folder,4,5,0.8974358974358975
